Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Average Hookload kkgf,Hole Depth (TVD) m,Bit Drill Time h,Mud Density Out g/cm3,Gamma gAPI,FORMATION
0,489.509,6.164320308300001,9521.24613642792,0.352512666566164,41.897808000000005,84.0,2784.32194248,1.21000003814697,94.1113449276,489.252768,24.5,1.21000003814697,153.96,NORDLAND GP. Top
1,489.661,6.3094698667,9364.39040800834,0.3253963075995359,41.525952,84.0,2784.32194248,1.21000003814697,93.8754768952,489.403644,24.5,1.21000003814697,153.96,NORDLAND GP. Top
2,489.664,6.3094698667,9364.39040800834,0.3253963075995359,41.525952,84.0,2784.32194248,1.21000003814697,93.8754768952,489.403644,24.5,1.21000003814697,153.96,NORDLAND GP. Top
3,490.11800000000005,6.4319398066,9319.9192234674,0.284721769149594,43.671744,84.0,2784.32194248,1.21000003814697,94.1249526987,489.8559672,24.51,1.21000003814697,153.96,NORDLAND GP. Top
4,490.271,6.2414310112,9359.70197304898,0.298279948632908,44.125896,84.0,2784.32194248,1.21000003814697,94.0841293854,490.0065384,24.52,1.21000003814697,149.34,NORDLAND GP. Top
5,490.423,6.037314444700001,9376.31833812552,0.298279948632908,44.0436,84.0,2784.32194248,1.21000003814697,93.984339064,490.1574144,24.52,1.21000003814697,149.34,NORDLAND GP. Top
6,490.624,6.177928079400001,9373.62938278118,0.2440472306996519,42.601896,84.0,2784.32194248,1.21000003814697,93.7031117946,490.30798560000005,24.52,1.21000003814697,149.34,NORDLAND GP. Top
7,490.728,6.100817376499999,9553.30675784115,0.230489051216338,42.988992,84.0,2784.32194248,1.21000003814697,93.9435157507,490.4588616,24.53,1.21000003814697,161.65,NORDLAND GP. Top
8,490.804,6.100817376499999,9553.30675784115,0.230489051216338,42.988992,84.0,2784.32194248,1.21000003814697,93.9435157507,490.4588616,24.53,1.21000003814697,161.65,NORDLAND GP. Top
9,490.926,6.2006076979,9343.98192642056,0.257605410182966,43.610784,84.0,2784.32194248,1.21000003814697,93.8845487426,490.6094328,24.53,1.21000003814697,161.65,NORDLAND GP. Top
10,491.033,5.8422697256,9440.922213962507,0.2440472306996519,42.864024,84.0,2784.32194248,1.21000003814697,93.7802224975,490.7603088,24.53,1.21000003814697,150.88,NORDLAND GP. Top
11,491.338,6.3684368748,9313.024466174227,0.2169308717330239,42.894504,84.0,2784.32194248,1.21000003814697,94.0795934617,491.061756,24.54,1.21000003814697,146.26,NORDLAND GP. Top
12,491.49,6.3366854089,9252.55744471315,0.230489051216338,42.672,84.0,2784.32194248,1.21000003814697,93.7303273368,491.2123272,24.55,1.21000003814697,146.26,NORDLAND GP. Top
13,491.517,6.3366854089,9252.55744471315,0.230489051216338,42.672,84.0,2784.32194248,1.21000003814697,93.7303273368,491.2123272,24.55,1.21000003814697,146.26,NORDLAND GP. Top
14,491.642,5.9148445048000005,9437.61273046178,0.230489051216338,42.1386,84.0,2784.32194248,1.21000003814697,93.8845487426,491.3632032,24.55,1.21000003814697,146.26,NORDLAND GP. Top
15,491.694,5.9148445048000005,9437.61273046178,0.230489051216338,42.1386,84.0,2784.32194248,1.21000003814697,93.8845487426,491.3632032,24.55,1.21000003814697,146.26,NORDLAND GP. Top
16,491.795,6.1733921557,9448.43749941206,0.2169308717330239,42.547032,84.0,2784.32194248,1.21000003814697,93.8301176582,491.5137744,24.55,1.21000003814697,146.26,NORDLAND GP. Top
17,491.871,6.1733921557,9448.43749941206,0.2169308717330239,42.547032,84.0,2784.32194248,1.21000003814697,93.8301176582,491.5137744,24.55,1.21000003814697,146.26,NORDLAND GP. Top
18,491.929,6.1733921557,9448.43749941206,0.2169308717330239,42.547032,84.0,2784.32194248,1.21000003814697,93.8301176582,491.5137744,24.55,1.21000003814697,146.26,NORDLAND GP. Top
19,491.947,6.214215469,9263.93379424687,0.1626981537997679,42.501312,84.0,2784.32194248,1.21000003814697,93.9661953692,491.6646504,24.56,1.21000003814697,146.26,NORDLAND GP. Top
20,492.045,6.214215469,9263.93379424687,0.1626981537997679,42.501312,84.0,2784.32194248,1.21000003814697,93.9661953692,491.6646504,24.56,1.21000003814697,146.26,NORDLAND GP. Top
21,492.1,6.0237066736,9279.99857873996,0.0135581794833139,41.675304,84.0,2784.32194248,1.21000003814697,93.9344439033,491.8152216,24.56,1.21000003814697,155.49,NORDLAND GP. Top
22,495.605,4.7218965717,9435.40640812797,0.0135581794833139,39.724584,84.0,2784.32194248,1.21000003814697,95.3950113347,495.2789688,24.65,1.21000003814697,144.72,NORDLAND GP. Top
23,495.757,4.5132440815,9547.37726656902,0.0135581794833139,40.190928,84.0,2784.32194248,1.21000003814697,95.2861491659,495.4292352,24.66,1.21000003814697,144.72,NORDLAND GP. Top
