MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1000.2,970.05,0.14,0.0,0.0,59.87,-0.19,-0.09,732.27,56998.0,29.1,1.18
1000.3,970.12,0.11,0.0,0.0,59.85,-0.19,-0.07,728.76,56998.0,28.89,1.18
1000.4,970.2,0.08,0.0,0.0,59.83,-0.19,-0.05,725.24,56998.0,28.67,1.18
1000.5,970.28,0.05,0.0,0.0,59.8,-0.19,-0.03,721.73,56998.0,28.46,1.18
1000.6,970.36,0.02,0.0,0.0,59.78,-0.19,-0.01,718.21,56998.0,28.25,1.18
1000.7,970.44,0.0,0.0,0.0,59.76,-0.18,0.01,714.69,56998.0,28.04,1.18
1000.8,970.52,-0.03,0.0,0.0,59.74,-0.18,0.03,711.18,56998.0,27.83,1.18
1000.9,970.6,0.16,0.0,0.0,54.1,-0.1,0.03,711.16,56998.0,28.06,1.18
1001.0,970.68,0.35,0.0,0.0,48.46,-0.01,0.03,711.14,56998.0,28.3,1.18
1001.1,970.76,0.55,0.0,0.0,42.82,0.07,0.03,711.12,56998.0,28.53,1.18
1001.2,970.83,0.74,0.0,0.0,37.17,0.16,0.02,711.1,56998.0,28.77,1.18
1001.3,970.91,0.94,0.0,0.0,31.53,0.24,0.02,711.08,56998.0,29.0,1.18
1001.4,970.99,1.13,0.0,0.0,25.89,0.33,0.02,711.06,56998.0,29.24,1.18
1001.5,971.07,1.24,0.0,0.0,23.1,0.38,0.02,711.04,56998.0,29.38,1.18
1001.6,971.15,1.25,0.0,0.0,23.15,0.41,0.02,711.04,56998.0,29.43,1.18
1001.7,971.23,1.27,0.0,0.0,23.2,0.43,0.02,711.04,56998.0,29.47,1.18
1001.8,971.31,1.29,0.0,0.0,23.25,0.46,0.03,711.04,56998.0,29.52,1.18
1001.9,971.38,1.31,0.0,0.0,23.3,0.48,0.03,711.04,56998.0,29.57,1.18
1002.0,971.46,1.32,0.0,0.0,23.36,0.5,0.03,711.04,56998.0,29.62,1.18
1002.1,971.54,1.34,0.0,0.0,23.41,0.53,0.03,711.04,56998.0,29.66,1.18
1002.2,971.62,1.3,0.0,0.0,23.52,0.46,-0.02,711.04,56998.0,29.83,1.18
1002.3,971.7,1.25,0.0,0.0,23.64,0.38,-0.06,711.04,56998.0,30.0,1.18
1002.4,971.78,1.21,0.0,0.0,23.76,0.31,-0.11,711.04,56998.0,30.17,1.18
1002.5,971.86,1.16,0.0,0.0,23.88,0.23,-0.16,711.04,56998.0,30.34,1.18
1002.6,971.93,1.11,0.0,0.0,23.99,0.16,-0.2,711.04,56998.0,30.51,1.18
1002.7,972.01,1.07,0.0,0.0,24.11,0.09,-0.25,711.04,56998.0,30.68,1.18
1002.8,972.09,1.05,0.0,0.12,24.17,0.05,-0.27,711.12,56994.53,30.77,1.18
1002.9,972.17,1.06,0.0,0.37,24.18,0.05,-0.27,711.26,56987.6,30.77,1.18
1003.0,972.25,1.07,0.0,0.62,24.19,0.05,-0.27,711.4,56980.66,30.77,1.18
1003.1,972.33,1.07,0.0,0.87,24.19,0.06,-0.27,711.55,56973.72,30.77,1.18
1003.2,972.41,1.08,0.0,1.12,24.2,0.06,-0.27,711.69,56966.79,30.76,1.18
1003.3,972.48,1.09,0.0,1.36,24.21,0.06,-0.27,711.84,56959.85,30.76,1.18
1003.4,972.56,1.1,0.0,1.61,24.22,0.06,-0.27,711.98,56952.92,30.76,1.18
1003.5,972.64,1.1,0.0,1.86,24.22,0.06,-0.26,712.12,56945.98,30.76,1.18
1003.6,972.72,1.11,0.0,2.11,24.23,0.06,-0.26,712.27,56939.04,30.76,1.18
1003.7,972.8,1.12,0.0,2.35,24.24,0.06,-0.26,712.41,56932.11,30.76,1.18
1003.8,972.88,1.13,0.0,2.6,24.25,0.07,-0.26,712.55,56925.17,30.76,1.18
1003.9,972.96,1.13,0.0,2.85,24.25,0.07,-0.26,712.7,56918.23,30.76,1.18
1004.0,973.03,1.14,0.0,3.1,24.26,0.07,-0.26,712.84,56911.3,30.76,1.18
1004.1,973.11,1.15,0.0,3.35,24.27,0.07,-0.26,712.98,56904.36,30.75,1.18
1004.2,973.19,1.16,0.0,3.59,24.27,0.07,-0.26,713.13,56897.43,30.75,1.18
1004.3,973.27,1.17,0.0,3.84,24.28,0.07,-0.26,713.27,56890.49,30.75,1.18
1004.4,973.35,1.17,0.0,4.09,24.29,0.07,-0.25,713.42,56883.55,30.75,1.18
1004.5,973.43,1.18,0.0,4.34,24.3,0.07,-0.25,713.56,56876.62,30.75,1.18
1004.6,973.5,1.19,0.0,4.58,24.3,0.08,-0.25,713.7,56869.68,30.75,1.18
1004.7,973.58,1.2,0.0,4.83,24.31,0.08,-0.25,713.85,56862.75,30.75,1.18
1004.8,973.66,1.2,0.0,5.08,24.32,0.08,-0.25,713.99,56855.81,30.75,1.18
1004.9,973.74,1.21,0.0,5.33,24.33,0.08,-0.25,714.13,56848.87,30.75,1.18
1005.0,973.82,1.22,0.0,5.58,24.33,0.08,-0.25,714.28,56841.94,30.74,1.18
1005.1,973.9,1.23,0.0,5.82,24.34,0.08,-0.25,714.42,56835.0,30.74,1.19
1005.2,973.97,1.24,0.0,6.07,24.35,0.08,-0.24,714.56,56828.06,30.74,1.19
1005.3,974.05,1.24,0.0,6.32,24.36,0.09,-0.24,714.71,56821.13,30.74,1.19
1005.4,974.13,1.25,0.0,6.57,24.36,0.09,-0.24,714.85,56814.19,30.74,1.19
1005.5,974.21,1.26,0.0,6.81,24.37,0.09,-0.24,715.0,56807.26,30.74,1.19
1005.6,974.29,1.27,0.0,7.06,24.38,0.09,-0.24,715.14,56800.32,30.74,1.19
1005.7,974.37,1.27,0.0,7.31,24.39,0.09,-0.24,715.28,56793.38,30.74,1.19
1005.8,974.44,1.28,0.0,7.56,24.39,0.09,-0.24,715.43,56786.45,30.74,1.19
1005.9,974.52,1.29,0.0,7.81,24.4,0.09,-0.24,715.57,56779.51,30.73,1.19
1006.0,974.6,1.3,0.0,8.05,24.41,0.1,-0.24,715.71,56772.58,30.73,1.19
1006.1,974.68,1.31,0.0,8.3,24.41,0.1,-0.23,715.86,56765.64,30.73,1.19
1006.2,974.76,1.31,0.0,8.55,24.42,0.1,-0.23,716.0,56758.7,30.73,1.19
1006.3,974.83,1.32,0.0,8.8,24.43,0.1,-0.23,716.14,56751.77,30.73,1.19
1006.4,974.91,1.33,0.0,9.04,24.44,0.1,-0.23,716.29,56744.83,30.73,1.19
1006.5,974.99,1.34,0.0,9.29,24.44,0.1,-0.23,716.43,56737.9,30.73,1.19
1006.6,975.07,1.34,0.0,9.54,24.45,0.1,-0.23,716.58,56730.96,30.73,1.19
1006.7,975.15,1.35,0.01,9.79,24.46,0.1,-0.23,716.72,56724.02,30.73,1.19
1006.8,975.22,1.36,0.01,10.04,24.47,0.11,-0.23,716.86,56717.09,30.73,1.19
1006.9,975.3,1.37,0.01,10.28,24.47,0.11,-0.23,717.01,56710.15,30.72,1.19
1007.0,975.38,1.37,0.01,10.53,24.48,0.11,-0.22,717.15,56703.21,30.72,1.19
1007.1,975.46,1.38,0.01,10.78,24.49,0.11,-0.22,717.29,56696.28,30.72,1.19
1007.2,975.54,1.39,0.01,11.03,24.5,0.11,-0.22,717.44,56689.34,30.72,1.19
1007.3,975.61,1.4,0.01,11.27,24.5,0.11,-0.22,717.58,56682.41,30.72,1.19
1007.4,975.69,1.41,0.01,11.52,24.51,0.11,-0.22,717.73,56675.47,30.72,1.19
1007.5,975.77,1.41,0.01,11.77,24.52,0.12,-0.22,717.87,56668.53,30.72,1.19
1007.6,975.85,1.42,0.01,12.02,24.53,0.12,-0.22,718.01,56661.6,30.72,1.19
1007.7,975.93,1.43,0.01,12.27,24.53,0.12,-0.22,718.16,56654.66,30.72,1.19
1007.8,976.0,1.44,0.01,12.51,24.54,0.12,-0.22,718.3,56647.73,30.71,1.19
1007.9,976.08,1.44,0.01,12.76,24.55,0.12,-0.21,718.44,56640.79,30.71,1.19
1008.0,976.16,1.45,0.01,13.01,24.56,0.12,-0.21,718.59,56633.85,30.71,1.19
1008.1,976.24,1.46,0.01,13.26,24.56,0.12,-0.21,718.73,56626.92,30.71,1.19
1008.2,976.32,1.47,0.01,13.5,24.57,0.13,-0.21,718.87,56619.98,30.71,1.19
1008.3,976.39,1.48,0.01,13.75,24.58,0.13,-0.21,719.02,56613.05,30.71,1.19
1008.4,976.47,1.48,0.01,14.0,24.58,0.13,-0.21,719.16,56606.11,30.71,1.19
1008.5,976.55,1.49,0.01,14.25,24.59,0.13,-0.21,719.31,56599.17,30.71,1.19
1008.6,976.63,1.5,0.01,14.5,24.6,0.13,-0.21,719.45,56592.24,30.71,1.19
1008.7,976.71,1.51,0.01,14.74,24.61,0.13,-0.21,719.59,56585.3,30.7,1.2
1008.8,976.78,1.51,0.01,14.99,24.61,0.13,-0.2,719.74,56578.36,30.7,1.2
1008.9,976.86,1.52,0.01,15.24,24.62,0.13,-0.2,719.88,56571.43,30.7,1.2
1009.0,976.94,1.53,0.01,15.49,24.63,0.14,-0.2,720.02,56564.49,30.7,1.2
1009.1,977.02,1.54,0.01,15.74,24.64,0.14,-0.2,720.17,56557.56,30.7,1.2
1009.2,977.1,1.55,0.01,15.98,24.64,0.14,-0.2,720.31,56550.62,30.7,1.2
1009.3,977.17,1.55,0.01,16.23,24.65,0.14,-0.2,720.45,56543.68,30.7,1.2
1009.4,977.25,1.56,0.01,16.48,24.66,0.14,-0.2,720.6,56536.75,30.7,1.2
1009.5,977.33,1.57,0.01,16.73,24.67,0.14,-0.2,720.74,56529.81,30.7,1.2
1009.6,977.41,1.58,0.01,16.97,24.67,0.14,-0.2,720.89,56522.88,30.69,1.2
1009.7,977.48,1.58,0.01,17.22,24.68,0.15,-0.19,721.03,56515.94,30.69,1.2
1009.8,977.56,1.59,0.01,17.47,24.69,0.15,-0.19,721.17,56509.0,30.69,1.2
1009.9,977.64,1.6,0.01,17.72,24.7,0.15,-0.19,721.32,56502.07,30.69,1.2
1010.0,977.72,1.61,0.01,17.97,24.7,0.15,-0.19,721.46,56495.13,30.69,1.2
