MD,RPMA,WOBA,ROPA
988.3,86.100045,2.3435745,0.284019
988.4,86.100045,2.3435745,0.284019
988.5,86.42642,2.470154,0.244422
988.6,85.87752,2.622059,0.244422
988.7,86.064025,2.7161255,0.204825
988.8,85.503475,3.1894225,0.204825
988.9,86.254745,3.6656455,0.204825
989.0,85.1167,2.169693,0.204825
989.1,85.318035,1.6396335,0.19225
989.2,86.231445,1.672943,0.179675
989.3,86.31621,1.6441575,0.179675
989.4,86.325745,2.5163955,0.179675
989.5,85.89872,2.7375905,0.298845
989.6,86.03753,2.84272,0.418015
989.7,85.25976,2.723061,0.418015
989.8,86.62564,2.517197,0.418015
989.9,85.409165,2.779694,0.418015
990.0,85.85315,2.6749645,0.418015
990.1,85.57871,2.808609,0.226144
990.2,85.59884,2.6004755,0.226144
990.3,86.06296,2.727196,0.226144
990.4,86.33105,2.803543,0.226144
990.5,86.133965,2.4580345,0.2298935
990.6,86.380845,2.8888245,0.2298935
990.7,85.92839,2.617794,0.233643
990.8,85.90084,2.9714315,0.233643
990.9,86.555695,2.9164085,0.233643
991.0,86.57582,2.7326545,0.233643
991.1,86.335285,2.6769565,0.333342
991.2,86.058725,2.7173345,0.333342
991.3,85.678315,2.999283,0.333342
991.4,85.97925,2.326389,0.333342
991.5,86.052365,2.561573,0.351877
991.6,86.14031,2.709469,0.351877
991.7,86.213425,2.942253,0.370412
991.8,86.298205,2.5407755,0.370412
991.9,85.99832,1.801392,0.370412
992.0,86.292905,2.071884,0.270106
992.1,86.12654,1.491997,0.1698
992.2,86.281245,1.939964,0.1698
992.3,86.230385,1.8766825,0.1698
992.4,86.105345,2.278683,0.1698
992.5,85.883885,1.915714,0.1698
992.6,86.09581,2.555168,0.334653
992.7,86.17528,2.160221,0.334653
992.8,86.237805,2.479221,0.499506
992.9,86.29396,2.5333175,0.499506
993.0,86.1329,2.5056035,0.6273915
993.1,86.143495,2.4138035,0.755277
993.2,85.947465,2.189808,0.755277
993.3,86.150915,2.464699,0.755277
993.4,85.894475,2.473362,0.755277
993.5,86.192235,2.745716,0.74237
993.6,85.876475,2.6893505,0.729463
993.7,85.83409,2.31786,0.729463
993.8,85.912495,2.398342,0.729463
993.9,86.04389,2.554775,0.729463
994.0,85.911435,2.49308,0.689458
994.1,86.064025,2.4031335,0.689458
994.2,85.92839,2.526924,0.649453
994.3,86.27594,2.5346525,0.649453
994.4,86.342705,2.706543,0.649453
994.5,86.37766,2.260563,0.7653355
994.6,86.39039,2.088402,0.7653355
994.8,86.38509,2.177155,0.881218
994.9,84.980015,3.123737,0.881218
995.0,85.56069,2.4443095,0.881218
995.1,86.429585,2.451767,0.234486
995.2,85.784275,1.616974,0.234486
995.3,84.981075,1.6223065,0.234486
995.4,85.879645,1.809124,0.234486
995.5,85.556455,1.683464,0.2156395
995.6,85.52784,1.5671425,0.2156395
995.7,86.202825,1.9514275,0.196793
995.8,86.5737,2.2427065,0.196793
995.9,86.182695,2.5469095,0.196793
996.0,86.126535,2.67989,0.3436875
996.1,86.29608,2.327053,0.3436875
996.2,86.21237,2.5598375,0.490582
996.3,86.16151,2.3413125,0.490582
996.5,86.00575,2.338383,0.577919
996.7,86.3141,2.606472,0.577919
996.8,85.835145,2.5923465,0.665256
996.9,85.927325,2.8633655,0.665256
997.0,86.0068,2.3210565,0.549306
997.1,86.271705,2.0492325,0.433356
997.2,86.43383,2.2284545,0.433356
997.3,86.670125,1.9787445,0.433356
997.4,85.91568,1.773682,0.433356
997.6,86.065085,1.981415,0.5323985
997.7,86.044945,2.1002655,0.631441
997.8,86.286545,2.1273195,0.631441
997.9,86.071435,2.048298,0.631441
998.0,85.860575,2.038437,0.841691
998.2,85.69315,1.72757,0.841691
998.3,85.649705,1.7599525,1.051941
998.4,86.091575,2.2022015,1.051941
998.5,86.117005,2.434452,0.840593
998.6,86.36602,2.3577005,0.629245
998.7,86.37979,2.309067,0.629245
998.8,86.49423,2.6957515,0.629245
998.9,86.49847,1.9123875,0.629245
999.0,85.48334,1.8872035,0.453032
999.1,85.50453,2.1808815,0.276819
999.2,85.834085,2.2493705,0.276819
999.3,86.515415,2.2626955,0.276819
999.4,85.98562,1.944229,0.276819
999.5,85.737655,2.3297155,0.29547
999.6,86.01952,1.8554875,0.314121
999.7,85.93581,2.1660885,0.314121
999.8,86.22191,2.3814125,0.314121
999.9,86.23462,2.123722,0.314121
1000.0,86.25264,2.105999,0.373773
1000.1,85.706925,2.0900075,0.433425
1000.2,85.592485,2.0204505,0.433425
1000.3,85.605195,1.602589,0.433425
1000.4,85.815,1.91066,0.433425
1000.5,86.05342,2.168625,0.394874
1000.6,86.06296,1.9313125,0.356323
1000.7,85.98667,1.9375645,0.356323
1000.8,85.70375,1.8083115,0.356323
1000.9,86.48151,1.634842,0.356323
1001.0,86.351185,1.7915345,0.356323
1001.1,86.327875,2.1218565,0.433434
1001.2,86.20177,1.674011,0.433434
1001.3,85.739775,2.032173,0.433434
1001.4,86.08415,2.519192,0.433434
1001.5,85.97395,2.772232,0.3705235
1001.6,86.147725,2.784092,0.307613
1001.7,86.19118,2.0681535,0.307613
1001.8,85.898715,2.0646935,0.307613
1001.9,85.68573,2.5367815,0.307613
1002.0,86.049185,3.101086,0.1845875
1002.1,83.70951,2.610916,0.061562
1002.2,85.42612,1.7390785,0.061562
1002.3,86.39675,1.499626,0.061562
1002.4,86.479395,1.048317,0.061562
1002.5,85.92839,1.2215465,0.061562
1002.6,86.146675,1.3558615,0.050326
1002.7,86.127605,1.5483975,0.050326
1002.8,86.131845,2.0033035,0.050326
1002.9,86.14562,2.6436955,0.050326
1003.0,86.158325,2.654087,0.1992145
1003.1,85.932625,1.680981,0.348103
1003.2,85.696325,2.0828515,0.348103
1003.3,85.5787,2.450752,0.348103
1003.4,85.92203,2.2792625,0.348103
1003.5,86.15514,2.5942575,0.303556
1003.6,86.356475,2.0286255,0.259009
1003.7,86.100055,2.333355,0.259009
1003.8,86.268535,2.275257,0.259009
1003.9,86.146675,2.0574035,0.259009
1004.0,85.45897,1.7797165,0.2546625
1004.1,86.61821,1.9689295,0.250316
1004.2,85.04889,1.8989675,0.250316
1004.3,85.98772,0.9403495,0.250316
1004.4,85.972885,1.300255,0.250316
1004.5,86.62775,1.926647,0.250316
1004.6,86.849215,2.1714245,0.2403005
1004.7,86.470925,1.9989965,0.230285
1004.8,86.071435,1.652958,0.230285
1004.9,85.6709,1.182461,0.230285
1005.0,85.54692,1.462013,0.3749765
1005.1,85.580835,1.678806,0.519668
1005.2,86.26323,1.247486,0.519668
1005.3,85.934745,1.989143,0.519668
1005.4,86.34906,2.11013,0.519668
1005.5,86.250515,2.210205,0.4896065
1005.6,86.307735,1.9371755,0.4896065
1005.7,86.07038,1.5646095,0.459545
1005.9,86.083095,1.6764105,0.459545
1006.0,85.86905,1.1848565,0.459545
1006.1,85.92097,1.7660825,0.4836935
1006.2,86.184815,1.6492345,0.507842
1006.3,86.20813,1.5302355,0.507842
1006.4,86.129715,2.1934165,0.507842
1006.5,86.39145,2.6649745,0.5801435
1006.7,85.86269,2.1952785,0.652445
1006.9,85.629565,1.2554855,0.652445
1007.0,85.994075,1.210842,0.652445
1007.1,85.716455,1.55542,0.603
1007.2,86.07038,1.121433,0.553555
1007.3,86.1774,1.4068485,0.553555
1007.4,86.28972,1.7680855,0.553555
1007.5,86.33635,1.900532,0.553555
1007.6,85.64017,1.854435,0.341056
1007.7,86.04389,2.1455765,0.341056
1007.8,84.782915,2.4238015,0.341056
1007.9,85.99196,1.5162505,0.3190455
1008.1,85.523605,1.4437675,0.3190455
1008.2,86.164685,1.309452,0.297035
1008.3,86.322575,1.750637,0.297035
1008.4,86.17316,1.5350345,0.297035
1008.5,86.244155,1.3054465,0.297035
1008.6,85.93368,1.192585,0.5832185
1008.7,86.253695,1.334095,0.869402
1008.8,86.26536,1.660557,0.869402
1008.9,86.247345,2.0469705,0.869402
1009.0,86.15516,1.998871,0.8841895
1009.1,86.145615,2.4289895,0.8841895
1009.2,86.0778,2.9469225,0.898977
1009.3,86.219785,2.5487825,0.898977
1009.4,86.233565,2.840729,0.898977
1009.5,85.96971,2.3863565,1.0279835
1009.6,86.08946,2.4571075,1.0279835
1009.8,84.502115,3.7067035,1.15699
1009.9,85.8203,0.2558125,1.15699
1010.0,86.246275,0.01,0.708999
1010.1,85.79805,0.01,0.708999
1010.2,86.168925,0.01,0.261008
1010.3,86.285485,0.3080435,0.261008
1010.4,86.09581,0.597724,0.261008
1010.5,85.473805,0.0099665,0.261008
1010.6,85.818185,0.198779,0.4404575
1010.7,85.58189,0.01,0.619907
1010.8,85.560695,0.052741,0.619907
1010.9,85.534205,0.052741,0.619907
1011.0,86.253695,0.01,0.541426
1011.2,86.150915,0.01,0.541426
1011.3,86.102165,0.01,0.462945
1011.4,86.229325,0.1077755,0.462945
1011.5,86.06084,0.01,0.9013435
1011.6,86.26323,0.1077755,0.9013435
1011.7,85.351945,1.930569,1.339742
1011.8,86.386155,0.8505975,1.339742
1011.9,85.53845,0.6925585,1.339742
1012.0,85.5607,1.0062255,1.339742
1012.1,86.12549,0.75959,0.233784
1012.2,84.45655,0.959465,0.233784
1012.3,86.710395,1.4991075,0.233784
1012.4,85.556455,0.3384235,0.233784
1012.5,85.758845,1.5371855,0.234117
1012.6,86.145615,2.615124,0.234117
1012.7,86.16362,2.829918,0.23445
1012.8,86.4741,2.868828,0.23445
1012.9,86.202825,2.8093985,0.23445
1013.0,86.25475,2.8256535,0.23445
1013.1,85.98984,2.8882865,0.5436325
1013.2,86.178455,2.817261,0.5436325
1013.3,86.12971,2.9697035,0.852815
1013.4,86.528135,2.7788925,0.852815
1013.5,86.49846,2.8440435,0.852815
1013.6,86.37873,2.8257865,0.956514
1013.7,86.25052,3.1812895,1.060213
1013.8,86.230385,3.1855545,1.060213
1013.9,86.145615,3.2507135,1.060213
1014.0,86.053425,3.6960295,1.011822
1014.1,86.34906,3.706421,0.963431
1014.2,86.66165,1.132622,0.963431
1014.3,86.329985,1.048538,0.963431
1014.4,86.14349,1.0678595,0.963431
1014.5,86.100055,1.4048115,0.804484
1014.6,86.023755,1.49662,0.804484
1014.8,86.104295,1.723518,0.645537
1014.9,85.863755,1.6492995,0.645537
1015.0,85.967595,1.5781475,1.149974
1015.2,85.978195,1.678482,1.149974
1015.3,86.14879,1.6674235,1.654411
1015.4,86.310915,1.356827,1.654411
1015.5,85.647585,0.909649,1.2229475
1015.6,85.719645,1.177071,1.2229475
1015.7,86.191175,1.2975315,0.791484
1015.8,85.584,1.403866,0.791484
1015.9,86.186935,0.951481,0.791484
1016.0,86.289725,1.6239815,0.678343
1016.1,86.106405,1.932316,0.565202
1016.2,86.298205,1.9878805,0.565202
1016.3,86.37661,1.9896125,0.565202
1016.4,85.75885,1.7129935,0.565202
1016.5,86.282305,1.9885485,0.562694
1016.6,85.74401,1.773487,0.560186
1016.7,86.144555,1.612396,0.560186
1016.8,85.82031,2.240921,0.560186
1016.9,85.643345,2.727402,0.560186
1017.0,85.872225,2.976311,0.525916
1017.1,85.93898,2.4573175,0.491646
1017.2,85.68573,2.597355,0.491646
1017.3,85.7048,2.3739055,0.491646
1017.4,85.85633,2.1950835,0.491646
1017.5,85.88282,1.772957,0.491646
1017.6,86.331045,1.823452,0.482213
1017.7,86.220845,1.8481065,0.482213
1017.8,86.392505,2.3135375,0.482213
1017.9,86.25369,1.919922,0.482213
1018.0,86.505885,1.567898,0.4404015
1018.1,85.87753,1.409454,0.39859
1018.2,85.497115,1.5955965,0.39859
1018.3,85.852095,1.573082,0.39859
1018.4,85.948515,1.841175,0.39859
1018.5,86.098995,1.6470375,0.3120335
1018.6,86.603385,1.4991305,0.225477
1018.7,86.066135,1.92992,0.225477
1018.8,86.07355,2.0255885,0.225477
1018.9,86.220855,1.9090005,0.225477
1019.0,85.93369,1.4217185,0.2649295
1019.1,85.807585,1.2878075,0.304382
1019.2,86.0174,1.686478,0.304382
1019.3,86.213425,1.4727405,0.304382
1019.4,86.15939,1.845707,0.304382
1019.5,85.79699,1.919525,0.304382
1019.6,86.178465,1.796135,0.3402075
1019.7,86.257935,1.622513,0.376033
1019.8,86.598075,1.717388,0.376033
1019.9,85.95806,1.55843,0.376033
1020.0,85.350885,1.6662215,0.376033
1020.1,85.838315,1.923252,0.329086
1020.2,85.967595,1.60133,0.282139
1020.3,86.032225,1.4413035,0.282139
1020.5,86.28973,1.7900085,0.282139
1020.6,85.807585,2.322067,0.609812
1020.7,86.26959,2.724075,0.609812
1020.8,83.60143,1.295654,0.609812
1020.9,85.613675,1.28886,0.609812
1021.0,86.015285,1.696873,0.4085435
1021.1,85.767325,1.762558,0.207275
1021.2,86.0778,1.76696,0.207275
1021.3,86.0672,1.7296485,0.207275
1021.4,86.00256,1.78281,0.207275
1021.5,86.318325,1.712059,0.2265405
