Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Average Hookload kkgf,Hole Depth (TVD) m,Bit Drill Time h,Mud Density Out g/cm3
0,489.509,6.164320308,9521.246136,0.352512667,41.897808,84,2784.321942,1.210000038,94.11134493,489.252768,24.5,1.210000038
1,489.661,6.309469867,9364.390408,0.325396308,41.525952,84,2784.321942,1.210000038,93.8754769,489.403644,24.5,1.210000038
2,489.664,6.309469867,9364.390408,0.325396308,41.525952,84,2784.321942,1.210000038,93.8754769,489.403644,24.5,1.210000038
3,490.118,6.431939807,9319.919223,0.284721769,43.671744,84,2784.321942,1.210000038,94.1249527,489.8559672,24.51,1.210000038
4,490.271,6.241431011,9359.701973,0.298279949,44.125896,84,2784.321942,1.210000038,94.08412939,490.0065384,24.52,1.210000038
5,490.423,6.037314445,9376.318338,0.298279949,44.0436,84,2784.321942,1.210000038,93.98433906,490.1574144,24.52,1.210000038
6,490.624,6.177928079,9373.629383,0.244047231,42.601896,84,2784.321942,1.210000038,93.70311179,490.3079856,24.52,1.210000038
7,490.728,6.100817376,9553.306758,0.230489051,42.988992,84,2784.321942,1.210000038,93.94351575,490.4588616,24.53,1.210000038
8,490.804,6.100817376,9553.306758,0.230489051,42.988992,84,2784.321942,1.210000038,93.94351575,490.4588616,24.53,1.210000038
9,490.926,6.200607698,9343.981926,0.25760541,43.610784,84,2784.321942,1.210000038,93.88454874,490.6094328,24.53,1.210000038
10,491.033,5.842269726,9440.922214,0.244047231,42.864024,84,2784.321942,1.210000038,93.7802225,490.7603088,24.53,1.210000038
11,491.338,6.368436875,9313.024466,0.216930872,42.894504,84,2784.321942,1.210000038,94.07959346,491.061756,24.54,1.210000038
12,491.49,6.336685409,9252.557445,0.230489051,42.672,84,2784.321942,1.210000038,93.73032734,491.2123272,24.55,1.210000038
13,491.517,6.336685409,9252.557445,0.230489051,42.672,84,2784.321942,1.210000038,93.73032734,491.2123272,24.55,1.210000038
14,491.642,5.914844505,9437.61273,0.230489051,42.1386,84,2784.321942,1.210000038,93.88454874,491.3632032,24.55,1.210000038
15,491.694,5.914844505,9437.61273,0.230489051,42.1386,84,2784.321942,1.210000038,93.88454874,491.3632032,24.55,1.210000038
16,491.795,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,93.83011766,491.5137744,24.55,1.210000038
17,491.871,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,93.83011766,491.5137744,24.55,1.210000038
18,491.929,6.173392156,9448.437499,0.216930872,42.547032,84,2784.321942,1.210000038,93.83011766,491.5137744,24.55,1.210000038
19,491.947,6.214215469,9263.933794,0.162698154,42.501312,84,2784.321942,1.210000038,93.96619537,491.6646504,24.56,1.210000038
20,492.045,6.214215469,9263.933794,0.162698154,42.501312,84,2784.321942,1.210000038,93.96619537,491.6646504,24.56,1.210000038
21,492.1,6.023706674,9279.998579,0.013558179,41.675304,84,2784.321942,1.210000038,93.9344439,491.8152216,24.56,1.210000038
22,495.605,4.721896572,9435.406408,0.013558179,39.724584,84,2784.321942,1.210000038,95.39501133,495.2789688,24.65,1.210000038
23,495.757,4.513244082,9547.377267,0.013558179,40.190928,84,2784.321942,1.210000038,95.28614917,495.4292352,24.66,1.210000038
24,496.062,4.808079122,9317.575006,0.013558179,39.82212,84,2784.321942,1.210000038,95.13192776,495.7303776,24.66,1.210000038
25,496.519,4.132226491,9389.556272,0.013558179,40.535352,84,2784.321942,1.210000038,95.56737644,496.1817864,24.67,1.210000038
26,496.522,4.132226491,9389.556272,0.013558179,40.535352,84,2784.321942,1.210000038,95.56737644,496.1817864,24.67,1.210000038
27,496.58,4.132226491,9389.556272,0.013558179,40.535352,84,2784.321942,1.210000038,95.56737644,496.1817864,24.67,1.210000038
28,501.396,3.909966229,9466.432816,0.745699872,25.164288,92.9,2821.986792,1.210000038,96.12983097,500.9927496,24.8,1.210000038
29,501.494,3.909966229,9466.432816,0.745699872,25.164288,92.9,2821.986792,1.210000038,96.12983097,500.9927496,24.8,1.210000038
30,501.548,1.755402472,10242.3688,3.850522973,24.761952,126,2961.100683,1.210000038,97.74915574,501.143016,24.8,1.210000038
