,train_loss,test_loss,train_acc,test_acc,train_mse,train_mae,test_mse,test_mae
0,17228.396379470825,2727.495403289795,-2.5399179458618164,-1.5263307094573975,862.901,24.853792,691.54144,20.392096
1,16974.905296325684,2685.5895233154297,-2.487919807434082,-1.4876480102539062,850.22577,24.597916,680.95276,20.131124
2,16597.49512195587,2623.391487121582,-2.410501003265381,-1.4302239418029785,831.35394,24.212126,665.2338,19.737453
3,16125.524799346924,2545.9516258239746,-2.3136751651763916,-1.3587110042572021,807.7514,23.72226,645.6584,19.237528
4,15586.970961093903,2458.1511363983154,-2.203171730041504,-1.277604341506958,780.8147,23.156122,623.4567,18.660824
5,15005.42275094986,2364.076364517212,-2.083834648132324,-1.1906695365905762,751.72473,22.540995,599.6597,18.040648
6,14401.49959564209,2267.2491779327393,-1.9598968029022217,-1.101151466369629,721.5133,21.899405,575.1557,17.408043
7,13792.921055793762,2170.7020387649536,-1.8349950313568115,-1.0118484497070312,691.0669,21.249144,550.71045,16.790415
8,13195.094029426575,2076.978259086609,-1.712284803390503,-0.9251095056533813,661.15466,20.608694,526.96704,16.210999
9,12624.619979858398,1988.6674890518188,-1.5951707363128662,-0.8433313369750977,632.60657,19.994356,504.58163,15.697756
10,12088.118254184723,1906.671859741211,-1.485016107559204,-0.7673532962799072,605.75494,19.412708,483.7839,15.254469
11,11586.572661399841,1830.9831399917603,-1.3820319175720215,-0.6971733570098877,580.65125,18.866093,464.5733,14.876882
12,11118.469578742981,1761.3065748214722,-1.2859110832214355,-0.6325230598449707,557.2206,18.354664,446.87634,14.554312
13,10681.226188659668,1697.133334159851,-1.196129322052002,-0.5729357004165649,535.3351,17.871939,430.56528,14.286697
14,10272.118545532227,1637.9483003616333,-1.1121339797973633,-0.5179369449615479,514.8601,17.419483,415.51028,14.07131
15,9888.162727355957,1583.2309169769287,-1.0333130359649658,-0.46704769134521484,495.64648,16.99234,401.58017,13.898067
16,9526.446491241455,1532.4873790740967,-0.9590702056884766,-0.41981184482574463,477.54883,16.583323,388.65012,13.758324
17,9184.508651733398,1485.3181915283203,-0.8888993263244629,-0.37585997581481934,460.44376,16.197523,376.61905,13.6623125
18,8860.274127960205,1441.3806648254395,-0.8223749399185181,-0.3348757028579712,444.2276,15.832313,365.40027,13.606626
19,8551.988763809204,1400.3935585021973,-0.7591373920440674,-0.29659831523895264,428.81262,15.482766,354.92245,13.57063
20,8258.236326217651,1362.1304016113281,-0.6988942623138428,-0.2608175277709961,414.12756,15.1470375,345.12808,13.546497
21,7978.144716262817,1326.4459762573242,-0.6414644718170166,-0.22739946842193604,400.12833,14.82441,335.98044,13.53154
22,7711.102405548096,1293.2350578308105,-0.5867209434509277,-0.19624650478363037,386.78387,14.509656,327.45282,13.525429
23,7456.843101501465,1262.427978515625,-0.534605860710144,-0.16729521751403809,374.08014,14.205363,319.52786,13.529385
24,7215.915123939514,1234.04390335083,-0.48522770404815674,-0.14056622982025146,362.04355,13.9113655,312.21124,13.5408535
25,6988.484894752502,1208.0593528747559,-0.4386180639266968,-0.11604011058807373,350.68185,13.627854,305.49762,13.5616255
26,6774.186010837555,1184.3995513916016,-0.394700288772583,-0.09364831447601318,339.97632,13.354245,299.36823,13.589305
27,6572.313884735107,1162.956558227539,-0.35332953929901123,-0.07329130172729492,329.89166,13.094846,293.79584,13.623504
28,6382.282888054848,1143.6369857788086,-0.31438636779785156,-0.05488300323486328,320.39877,12.8461075,288.75687,13.666526
