,train_depth,train_true,train_pre
0,180.902,20.549006,20.00682
1,180.977,20.549006,19.874535
2,181.077,20.51304,19.860226
3,181.152,20.51304,19.952692
4,181.352,20.171055,19.715748
5,181.477,20.171055,19.73588
6,181.552,20.142097,19.700796
7,181.627,20.142097,19.762945
8,181.777,19.680632,19.47534
9,181.802,19.357847,19.342028
10,181.827,19.357847,19.424543
11,181.927,19.357847,19.412
12,181.952,19.357847,19.328451
13,181.977,19.298107,19.170448
14,182.102,19.33011,19.172297
15,182.127,19.33011,19.26528
16,182.252,19.162472,19.247644
17,182.402,19.03293,19.200405
18,182.427,18.90339,19.098938
19,182.502,18.90339,19.06731
20,182.552,18.856453,18.958366
21,182.652,18.856453,18.93875
22,182.727,18.917412,19.057972
23,182.827,18.917412,19.138813
24,182.927,19.107912,19.385971
25,182.977,19.107912,19.462523
26,183.002,19.107912,19.552446
27,183.052,19.083223,19.573015
28,183.152,19.083223,19.52824
29,183.177,18.701918,19.016935
30,183.202,18.701918,18.864843
31,183.227,18.701918,18.79067
32,183.277,18.701918,18.838968
33,183.302,18.701918,18.977812
34,183.327,18.29745,18.737972
35,183.427,18.29745,18.837309
36,183.502,17.718023,18.184284
37,183.577,17.718023,18.032393
38,183.627,17.351654,17.530052
39,183.727,17.351654,17.51141
40,183.777,17.42892,17.657043
41,183.827,17.506187,17.81209
42,183.927,17.79209,18.140886
43,183.977,17.79209,18.087934
44,184.002,17.79209,18.00264
45,184.052,17.79209,17.96588
46,184.077,17.79209,18.013195
47,184.227,17.652645,17.951023
48,184.302,17.72473,18.068771
49,184.402,18.244108,18.58838
50,184.502,18.244108,18.636282
51,184.577,18.332195,18.588718
52,184.652,18.332195,18.539116
53,184.677,18.332195,18.557188
54,184.827,18.40291,18.66616
55,184.852,18.35719,18.62524
56,184.927,18.35719,18.586788
57,184.952,18.35719,18.567213
58,185.002,18.590666,18.842976
59,185.027,18.590666,18.914358
60,185.127,18.590666,18.952436
61,185.152,18.808294,19.163794
62,185.227,18.808294,19.132868
63,185.252,18.808294,19.060116
64,185.302,18.575731,18.759155
65,185.327,18.575731,18.761345
66,185.352,18.575731,18.812132
67,185.452,17.931993,18.217117
68,185.477,17.931993,18.254377
69,185.527,17.931993,18.27501
70,185.602,17.931993,18.272232
71,185.627,17.64914,17.963387
72,185.752,17.592447,17.889772
73,185.777,17.535753,17.810331
74,185.927,17.076115,17.3139
75,186.177,17.056608,17.306217
76,186.227,17.659197,17.993124
77,186.377,18.494959,18.925907
78,186.452,18.494959,18.951815
79,186.502,18.494959,18.894014
80,186.627,18.89699,19.186575
81,186.677,18.7833,18.979286
82,186.777,18.7833,18.964388
83,186.827,18.529402,18.781843
84,186.852,18.529402,18.887428
85,186.977,18.76806,19.208172
86,187.002,18.76806,19.191603
87,187.027,18.76806,19.093742
88,187.102,18.76806,19.015501
89,187.127,18.76806,19.015589
90,187.277,19.161251,19.461199
91,187.402,19.161251,19.533802
92,187.427,19.171616,19.579668
93,187.477,19.171616,19.567335
94,187.502,19.171616,19.52773
95,187.527,19.171616,19.51569
96,187.602,19.186245,19.572578
97,187.627,19.186245,19.628372
98,187.677,19.186245,19.640362
99,187.752,19.070116,19.48935
100,187.827,19.070116,20.001858
101,187.902,19.145708,19.979666
102,188.052,19.339254,20.14103
103,188.077,19.339254,20.173721
104,188.127,19.339254,20.223974
105,188.202,18.960693,19.871477
106,188.327,18.960693,19.83501
107,188.377,18.862852,19.702888
108,188.427,18.862852,19.717463
109,188.502,19.410275,20.296211
110,188.577,19.410275,20.320635
111,188.652,19.538595,20.450548
112,188.677,19.666916,20.5492
113,188.702,19.666916,20.48244
114,188.802,19.639482,20.376928
115,188.902,19.639482,20.34657
116,188.927,19.639482,20.36206
117,188.952,19.639482,20.403444
118,188.977,19.647713,20.486097
119,189.127,19.665695,20.590435
120,189.152,19.665695,20.6493
121,189.202,19.665695,20.661943
122,189.227,19.665695,20.630468
123,189.277,19.684898,20.564014
124,189.302,19.684898,20.471586
125,189.402,19.684898,20.455833
126,189.527,19.671183,20.534575
127,189.627,19.666916,20.670776
128,189.702,19.666916,20.761972
129,189.727,19.686422,20.769043
130,189.752,19.686422,20.680347
131,189.777,19.686422,20.595016
132,190.202,14.725497,15.354831
133,190.252,14.725497,15.377407
134,190.327,17.195597,18.139236
135,190.352,19.665695,20.700115
136,190.477,19.675144,20.63337
137,190.502,19.675144,20.49759
138,190.627,19.675144,20.41122
139,190.802,19.66844,20.427305
140,190.827,19.66844,20.511873
141,190.877,19.66844,20.585018
142,190.927,19.66844,20.595146
143,190.952,19.682156,20.56181
144,190.977,19.682156,20.509237
145,191.102,19.689165,20.52411
146,191.202,19.689165,20.597172
147,191.277,19.655943,20.63455
148,191.302,19.655943,20.635643
149,191.402,19.613575,20.517784
150,191.477,19.613575,19.767883
151,191.577,19.602602,19.667864
152,191.602,19.602602,19.634825
153,191.677,19.602602,19.677395
154,191.702,19.623024,19.779478
155,191.727,19.623024,19.832172
156,191.802,19.623024,19.809553
157,191.827,19.623024,19.742138
158,191.852,19.679413,19.748217
159,191.902,19.679413,19.730352
160,192.152,19.664171,19.723846
161,192.227,19.664171,19.758589
162,192.352,19.673925,19.811295
163,192.377,19.673925,19.796766
164,192.402,19.673925,19.707779
165,192.502,19.66844,19.615566
166,192.577,19.66844,19.585161
167,192.727,19.677889,19.630026
168,192.777,19.675144,19.732637
169,192.802,19.675144,19.875998
170,192.827,19.675144,19.972939
171,192.952,19.658686,19.9497
172,192.977,19.658686,19.84933
173,193.002,19.658686,19.69743
174,193.052,19.658686,19.574656
175,193.077,19.701357,19.58914
176,193.277,19.686422,19.653233
177,193.327,19.686422,19.780338
178,193.377,19.686422,19.873655
179,193.427,19.673925,19.874868
180,193.552,19.694653,19.840248
181,193.602,19.694653,19.763817
182,193.677,19.694653,19.7242
183,193.852,19.671183,19.702398
184,193.877,19.671183,19.71915
185,193.902,19.671183,19.728903
186,193.977,19.671183,19.702993
187,194.002,19.657467,19.632284
188,194.077,19.657467,19.59081
189,194.102,19.657467,19.609268
190,194.327,19.673925,19.685066
191,194.352,19.673925,19.736542
192,194.427,19.673925,19.753101
193,194.452,19.673925,19.741156
194,194.527,19.662952,19.715311
195,194.652,19.63552,19.698906
196,194.677,19.63552,19.737816
197,194.777,19.387413,19.509424
198,194.802,19.387413,19.459597
199,194.977,19.03537,19.005217
200,195.052,18.888151,19.0322
201,195.152,18.888151,18.953207
202,195.202,18.895771,18.904608
203,195.327,18.895771,18.915707
204,195.352,18.84487,18.938717
205,195.377,18.84487,19.019197
206,195.402,18.84487,19.034916
207,195.427,18.84487,18.996645
208,195.477,18.84487,18.953915
209,195.502,18.84487,18.932531
210,195.602,18.847612,18.941832
211,195.727,18.900648,19.036804
212,195.777,18.900648,19.08987
213,195.827,18.88419,19.066284
214,195.852,18.88419,18.977318
215,195.902,18.88419,18.875816
216,195.952,18.88419,18.82223
217,196.027,18.87413,18.832365
218,196.052,18.87413,18.930254
219,196.127,18.893028,19.087738
220,196.152,18.893028,19.174688
221,196.227,18.893028,19.15044
222,196.252,18.893028,19.039774
223,196.377,18.888151,18.89183
224,196.427,18.883732,18.785997
225,196.452,18.879313,18.77549
226,196.552,18.879313,18.856789
227,196.627,18.940271,19.015942
228,196.652,18.940271,19.058285
229,196.802,19.392595,19.510208
230,196.877,19.392595,19.432924
231,196.902,19.37004,19.32163
232,196.977,19.37004,19.272257
233,197.052,18.352617,18.223944
234,197.077,18.352617,18.292414
235,197.127,18.352617,18.36534
236,197.152,18.352617,18.390078
237,197.177,18.352617,18.350012
238,197.252,16.650005,16.520502
239,197.327,16.650005,16.487734
240,197.352,15.739263,15.544245
241,197.377,15.283891,15.093941
242,197.477,15.283891,15.141439
243,197.577,14.921179,14.811898
244,197.627,14.921179,14.847106
245,197.702,14.585594,14.534601
246,197.752,14.585594,14.548789
247,197.777,14.585594,14.526371
248,197.802,14.585594,14.449023
249,197.877,13.849197,13.557498
250,197.927,13.849197,13.647659
251,197.952,13.849197,13.568933
252,198.002,12.6492,11.996053
253,198.027,12.6492,11.883394
254,198.077,12.6492,11.863902
255,198.102,12.0015,11.166833
256,198.127,12.0015,11.246878
257,198.177,12.0015,11.322019
258,198.202,12.0015,11.3633
259,198.227,12.0015,11.369288
260,198.252,12.251436,11.650869
261,198.277,12.251436,11.669388
262,198.327,12.251436,11.700318
263,198.352,12.251436,11.721829
264,198.552,13.211404,12.833353
265,198.652,13.653212,13.346119
266,198.702,13.653212,13.376879
267,198.727,13.424307,13.160104
268,198.777,13.424307,13.204533
269,198.852,13.424307,13.234418
270,198.927,12.048135,11.595718
271,198.977,12.048135,11.552285
272,199.077,11.535156,10.943201
273,199.227,11.030407,10.395911
274,199.277,11.030407,10.434692
275,199.327,10.165385,9.455275
276,199.352,10.165385,9.399372
277,199.377,10.165385,9.319645
278,199.402,10.165385,9.267617
279,199.452,10.165385,9.258819
280,199.477,8.829142,7.8064365
281,199.527,8.829142,7.81811
282,199.552,8.829142,7.833211
283,199.577,8.829142,7.8398743
284,199.702,7.2871585,6.268012
285,199.777,6.7290697,5.7622786
286,199.827,6.7290697,5.808649
287,199.852,6.7290697,5.8598742
288,199.927,6.7290697,5.8867455
289,199.977,6.4148207,5.482468
290,200.052,6.4148207,5.415687
291,200.127,5.6455054,4.660162
292,200.152,5.6455054,4.7309313
293,200.202,5.6455054,4.8249865
294,200.252,4.8944783,4.1836543
295,200.277,4.8944783,4.2277246
296,200.302,4.8944783,4.2051954
297,200.327,4.8944783,4.1269145
298,200.402,4.424782,3.5812318
299,200.427,4.424782,3.5170436
300,200.452,4.424782,3.6714213
301,200.477,4.424782,3.628495
302,200.552,4.28244,3.4475844
303,200.577,4.28244,3.3902757
304,200.602,4.28244,3.3559415
305,200.627,4.28244,3.3414848
306,200.727,4.3958254,3.437155
307,200.752,4.3958254,3.4407022
308,200.777,4.3958254,3.4471729
309,200.852,4.4738545,3.503573
310,200.877,4.4738545,3.485106
311,200.902,4.4738545,3.4727862
312,200.927,4.4738545,3.4781516
313,200.977,4.4738545,3.4858837
314,201.002,4.4967146,3.5239937
315,201.027,4.4967146,3.5600326
316,201.052,4.4967146,3.588249
317,201.177,4.5991273,3.7177632
318,201.202,4.5991273,3.7272666
319,201.252,4.5991273,3.65502
320,201.302,4.6576486,3.6412225
321,201.352,4.6576486,3.6420567
322,201.377,4.6576486,3.6813972
323,201.477,4.7539654,3.816395
324,201.502,4.7539654,3.8924506
325,201.527,4.7539654,3.916952
326,201.602,5.215738,4.270157
327,201.627,5.215738,4.1431184
328,201.752,5.215738,4.1153975
329,201.777,6.0514994,4.947459
330,201.952,6.6199512,5.6476073
331,201.977,6.6199512,5.776169
332,202.052,6.6199512,5.8102865
333,202.077,7.045452,6.2431083
334,202.127,7.045452,6.127312
335,202.177,7.045452,6.122309
336,202.227,7.7809343,7.124895
337,202.252,7.7809343,7.2293544
338,202.352,7.7809343,7.2384295
339,202.377,7.842504,7.2760954
340,202.427,7.9040737,7.2969756
341,202.552,7.624572,6.9268107
342,202.677,7.6669393,7.005945
343,202.727,7.6669393,7.1287017
344,204.977,7.6669393,7.255991
345,246.152,5.9445143,5.4196897
346,246.252,5.9445143,5.4241924
347,246.277,4.90728,4.1373043
348,246.302,4.90728,4.0281234
349,246.327,4.90728,3.9403353
350,246.427,6.2188344,5.2071385
351,246.452,6.2188344,5.2233233
352,246.477,6.2188344,5.2128325
353,246.552,6.2188344,5.219737
354,246.577,6.1228223,5.1405635
355,246.627,6.1228223,5.178284
356,246.702,6.1228223,5.1589622
357,246.727,6.2101984,5.1530647
358,246.777,6.253886,5.063939
359,246.877,6.7336416,5.5047903
360,246.952,6.7336416,5.4887505
361,247.052,7.475525,6.46625
362,247.077,7.475525,6.593282
363,247.177,7.9440026,7.2609067
364,247.202,7.9440026,7.26617
365,247.227,7.9440026,7.2900486
366,247.327,7.81431,7.191001
367,247.377,7.6846175,7.0788736
368,247.402,7.6846175,7.1030912
369,247.477,7.2354946,6.655557
370,247.502,6.786372,6.051147
371,247.627,6.1322713,5.112673
372,247.677,6.1322713,5.139339
373,247.777,6.074207,5.2162247
374,247.802,6.0161424,5.3051596
375,247.827,6.0161424,5.3234925
376,247.927,6.0161424,5.185399
377,247.952,5.9536586,4.878887
378,247.977,5.9536586,4.8133416
379,248.002,5.9536586,4.8941984
380,248.052,5.9536586,5.0317636
381,248.127,5.9079385,5.115079
382,248.152,5.9079385,5.1325765
383,248.227,5.9079385,5.0061493
384,248.252,5.948477,4.9163036
385,248.277,5.948477,4.871242
386,248.352,5.948477,4.9298964
387,248.377,5.948477,5.0219536
388,248.402,5.9493914,5.064252
389,248.427,5.9493914,5.0630503
390,248.552,5.986577,5.0609818
391,248.677,5.986577,5.010071
392,248.752,5.933542,4.981473
393,248.802,5.933542,5.1174154
394,248.852,5.849823,5.1701636
395,248.902,5.807964,5.202383
396,249.027,5.882335,5.3086143
397,249.052,5.882335,5.277219
398,249.152,5.863285,5.1472526
399,249.202,5.8442354,5.0005302
400,249.302,5.8442354,4.9383755
401,249.327,5.625694,4.7264805
402,249.352,5.625694,4.74862
403,249.452,5.625694,4.7773504
404,249.477,5.5357776,4.692812
405,249.502,5.5357776,4.6802406
406,249.577,5.5357776,4.586507
407,249.602,5.5357776,4.4427037
408,249.627,5.504993,4.290684
409,249.652,5.504993,4.2366858
410,249.727,5.504993,4.2413645
411,249.777,5.489448,4.2756367
412,249.802,5.489448,4.3251576
413,249.902,5.489448,4.321474
414,249.927,5.5327296,4.3591394
415,249.952,5.5327296,4.404988
416,249.977,5.5327296,4.516991
417,250.027,5.5327296,4.622347
418,250.077,5.5327296,4.6603813
419,250.102,5.5086503,4.5875106
420,250.177,5.5086503,4.4542356
421,250.227,5.525719,4.3965764
422,250.252,5.525719,4.437441
423,250.402,5.6762905,4.7548556
424,250.502,5.6762905,4.881094
425,250.527,5.846064,5.091606
426,250.552,5.846064,5.0084763
427,250.577,5.846064,4.8419123
428,250.677,5.911139,4.8663635
429,250.727,5.9762135,5.047416
430,250.802,5.9762135,5.2239647
431,250.827,5.9762135,5.3815393
432,250.877,5.957011,5.366836
433,250.902,5.957011,5.2329254
434,251.002,5.808269,4.8639817
435,251.052,5.808269,4.752527
436,251.152,5.8500266,4.7973557
437,251.177,5.8500266,4.844391
438,251.202,5.8500266,4.859324
439,251.252,5.8500266,4.853233
440,251.302,5.8500266,4.831778
441,251.352,6.08838,5.097449
442,251.452,6.3651385,5.444461
443,251.477,6.3651385,5.4917846
444,251.502,6.3651385,5.5552526
445,251.602,6.648298,5.937018
446,251.627,6.648298,6.028459
447,251.652,6.648298,6.079689
448,251.677,6.648298,5.9953003
449,251.752,7.0710554,6.28179
450,251.802,7.0710554,6.9428196
451,251.827,7.0710554,6.97581
452,251.852,7.0710554,7.010001
453,251.902,8.103718,8.320109
454,251.927,8.103718,8.372479
455,251.977,8.103718,8.331494
456,252.052,9.649359,9.880309
457,252.077,9.649359,9.751675
458,252.127,9.649359,9.7115555
459,252.152,9.649359,9.739111
460,252.227,10.53846,10.797115
461,252.252,10.53846,10.842478
462,252.277,10.53846,10.813162
463,252.352,10.451592,10.6215515
464,252.377,10.451592,10.557385
465,252.427,10.451592,10.559931
466,252.452,10.451592,10.543673
467,252.552,10.1282,10.15339
468,252.577,10.1282,10.160364
469,252.752,10.305288,10.392113
470,252.827,10.578084,10.712329
471,252.877,10.578084,10.735194
472,252.902,10.578084,10.74403
473,253.127,10.66099,10.771778
474,253.152,10.66099,10.671463
475,253.302,10.456774,10.411028
476,253.427,9.254948,9.200482
477,253.452,9.254948,9.3301935
478,253.502,9.254948,9.43283
