,train_depth,train_true,train_pre,train_depth,test_true,test_pre
0,1338.101,32.0,5.280486,626.102,44.45,5.2305503
1,1337.101,34.86,5.2804637,624.177,44.58,5.240276
2,1335.901,35.83,5.291774,622.227,41.8,5.284452
3,1334.751,37.73,5.313057,620.477,46.1,5.2367644
4,1333.576,35.34,5.322956,618.277,43.55,5.259326
5,1332.576,36.28,5.3327165,616.502,38.7,5.342913
6,1212.376,37.93,5.306966,615.077,43.8,5.261577
7,1207.976,33.03,5.3810205,610.452,47.81,5.2286377
8,1206.826,29.92,5.436481,608.277,41.3,5.3256874
9,1205.876,29.74,5.4360642,606.602,42.32,5.3222203
10,1204.926,26.28,5.536346,605.027,41.56,5.320801
11,1203.976,25.645,5.4233336,603.327,46.92,5.235417
12,1202.901,26.44,5.370661,601.627,44.79,5.2427545
13,1201.951,22.97,5.441991,600.127,43.84,5.2594233
14,1200.851,55.37,5.278959,598.552,29.02,5.544579
15,1199.526,54.04,5.291881,595.627,22.68,5.6849904
16,1198.351,55.4,5.27612,592.977,57.96,5.265024
17,1197.326,55.55,5.2763767,591.152,50.08,5.37533
18,1196.176,55.22,5.2808595,588.727,56.89,5.284509
19,1194.976,56.44,5.284576,586.302,63.23,5.2107315
20,1193.776,57.35,5.2791066,583.977,57.22,5.2992163
21,1192.451,55.75,5.302436,582.027,57.03,5.3052964
22,1191.151,57.89,5.2835207,579.927,60.37,5.2681966
23,1189.701,50.59,5.3798356,577.627,49.59,5.39009
24,1188.251,71.09,5.290239,575.977,44.36,5.4605556
25,1186.776,68.23,5.3121815,573.677,55.45,5.29813
26,1185.351,58.76,5.4181733,571.677,59.5,5.255117
27,1184.051,62.89,5.374377,569.977,60.38,5.241793
28,1182.601,66.69,5.32825,567.752,33.68,5.6232796
29,1181.251,69.85,5.2906294,565.702,44.02,5.428963
30,1180.026,47.27,5.5455575,555.952,16.37,5.7925534
31,1178.851,41.11,5.6345577,553.977,64.71,5.1820664
32,1177.651,38.27,5.6776586,551.502,57.94,5.279752
33,1176.251,24.88,5.8441815,548.652,52.22,5.354855
34,1175.451,20.8,5.773901,546.752,55.88,5.3099003
35,1174.451,19.83,5.738554,544.027,60.52,5.2582035
36,1173.651,21.6,5.686086,541.377,57.95,5.272201
37,1172.651,22.55,5.6272388,539.402,45.96,5.431534
38,1171.801,21.59,5.292853,537.502,39.31,5.5381002
39,1170.851,19.34,5.365191,535.652,9.57,5.6091704
40,1169.976,19.34,5.374271,534.227,40.37,5.49085
41,1169.051,19.56,5.363061,532.552,48.26,5.2903867
42,1168.201,20.5,5.2918944,530.827,50.78,5.1998124
43,1167.226,21.21,5.268404,528.502,50.58,5.205244
44,1165.401,16.53,5.432967,526.252,48.48,5.2263885
45,1164.351,23.08,5.2564807,524.127,50.14,5.24714
46,1162.951,48.74,5.2556214,521.827,51.61,5.2653046
47,1161.576,46.08,5.298842,519.652,43.95,5.3951063
48,1160.426,47.64,5.272619,515.402,9.48,5.6544895
49,1159.301,47.09,5.29848,512.852,58.29,5.1904407
50,1158.101,42.68,5.3609385,510.752,58.26,5.174746
51,1156.851,45.61,5.3217044,508.252,55.46,5.2046285
52,1155.626,48.92,5.2842836,505.252,61.56,5.132729
53,1154.576,39.15,5.43583,502.952,60.99,5.20259
